	bookNo	author	year	book
521	1873	Honore de Balzac	1837	Gambara
522	1874	E. Nesbit	1906	The Railway Children
523	1880	James Fenimore Cooper	1840	The Pathfinder, or The Inland Sea
524	1892	Mark Twain (Samuel Clemens)	1904	Extracts from Adam's Diary
525	1895	Wilkie Collins	1866	Armadale
526	1896	Stanley Weyman	1894	Under the Red Robe
527	1898	Honore de Balzac	1842	Albert Savarus
528	1900	Herman Melville	1846	Typee
529	1901	William J. Long	2002	The Story of Lucy Gault
530	1906	Samuel Butler	1872	Erewhon
531	1929	Richard Brinsley Sheridan	1777	The School for Scandal
532	1930	Anatole France	1908	Penguin Island
533	1933	William Makepeace Thackeray	2002	The Story of Lucy Gault
534	1934	William Blake	1794	Songs of Innocence and of Experience
535	1937	Rudyard Kipling	1895	The Second Jungle Book
536	1943	Honore de Balzac	1832	Louis Lambert
537	1946	Carl von Clausewitz	1832	On War
538	1947	Rafael Sabatini	1921	Scaramouche
539	1948	Thomas Bailey Aldrich	1870	The Story of a Bad Boy
540	1950	Honore de Balzac	1842	A Woman of Thirty
541	1954	Honore de Balzac	1829	Colonel Chabert
542	1957	Honore de Balzac	1839	Béatrix
543	1965	Rafael Sabatini	1922	Captain Blood
544	1966	John Buchan	1921	The Path of the King
545	1971	Samuel Butler	1901	Erewhon Revisited
546	1974	Aristotle	-334	Poetics
547	1983	Booth Tarkington	1900	Monsieur Beaucaire
548	1986	John Bunyan	2009	The Life and Death of Democracy
549	1998	Friedrich Nietzsche	1883	Thus Spoke Zarathustra
550	1999	Aldous Huxley	1921	Crome Yellow
551	2005	P. G. Wodehouse	1917	Piccadilly Jim
552	2009	Charles Darwin	1859	On the Origin of Species
553	2014	Marie Belloc Lowndes	1913	The Lodger
554	2020	Edgar Rice Burroughs	1921	Tarzan the Terrible
555	2024	Jerome K. Jerome	1891	Diary of a Pilgrimage
556	2028	Sax Rohmer	1915	The Yellow Claw
557	2034	Sir Walter Scott	1814	Waverley
558	2040	Thomas De Quincey	1822	Confessions of an English Opium-Eater
559	2044	Henry Adams	1918	The Education of Henry Adams
560	2055	Richard Henry Dana	1840	Two Years Before the Mast
561	2057	Zane Grey	1978	The Last Good Kiss
562	2060	William Beckford	2002	The Story of Lucy Gault
563	2064	Samuel Johnson	1775	A Journey to the Western Islands of Scotland
564	2067	Ferdinand Ossendowski	1922	Beasts, Men and Gods
565	2078	Anatole France	1890	Thaïs
566	2081	Nathaniel Hawthorne	1852	The Blithedale Romance
567	2083	Jules Verne	1868	In Search of the Castaways
568	2084	Samuel Butler	1903	The Way of All Flesh
569	2097	Arthur Conan Doyle	1894	The Sign of the Four
570	2123	Anatole France	1881	The Crime of Sylvestre Bonnard
571	2133	Herbert A. Giles	1876	Chinese Sketches
572	2142	Leo Tolstoy	1852	Childhood
573	2145	Lew Wallace	1880	Ben-Hur: A Tale of the Christ
574	2153	Elizabeth Cleghorn Gaskell	1848	Mary Barton
575	2154	Jules Verne	1872	Around the World in Eighty Days
576	2156	Herbert Allen Giles	1902	China and the Chinese
577	2160	Tobias Smollett	1771	The Expedition of Humphry Clinker
578	2162	Emma Goldman	1910	Anarchism and Other Essays
579	2165	George Eliot	1859	The Lifted Veil
580	2166	H. Rider Haggard	1885	King Solomon's Mines
581	2181	Nathaniel Hawthorne	1860	The Marble Faun
582	2182	Nathaniel Hawthorne	1860	The Marble Faun
583	2183	Jerome K. Jerome	1900	Three Men on the Bummel
584	2186	Rudyard Kipling	1897	Captains Courageous
585	2194	George Sand	1837	Mauprat
586	2196	Pierre Loti	1886	An Iceland Fisherman
587	2225	Rudyard Kipling	1897	Captains Courageous
588	2226	Rudyard Kipling	1901	Kim
589	2231	Jerome K. Jerome	1919	All Roads Lead to Calvary
590	2233	P. G. Wodehouse	1919	A Damsel in Distress
591	2273	Victor Appleton	1910	Tom Swift and His Motor Boat
592	2276	James Hogg	1824	The Private Memoirs and Confessions of a Justified Sinner
593	2291	George MacDonald	1863	David Elginbrod
594	2300	Charles Darwin	1871	The Descent of Man, and Selection in Relation to Sex
595	2302	Fyodor Dostoyevsky	1846	Poor Folk
596	2311	Tobias Smollett	1766	Travels through France and Italy
597	2344	Arthur Conan Doyle	1893	The Adventure of the Cardboard Box
598	2345	Arthur Conan Doyle	1926	The Adventure of the Retired Colourman
599	2346	Arthur Conan Doyle	1912	The Adventure of the Bruce-Partington Plans
600	2347	Arthur Conan Doyle	1913	The Adventure of the Dying Detective
601	2349	Arthur Conan Doyle	1892	The Adventure of the Beryl Coronet
602	2351	Dinah Maria Mulock Craik	1856	John Halifax, Gentleman
603	2358	Mary Roberts Rinehart	1914	The After House
604	2360	Erskine Childers	1903	The Riddle of the Sands
605	2365	Madame de La Fayette	1662	The Princess of Montpensier
606	2369	Willa Cather	2002	The Story of Lucy Gault
607	2375	Alphonse Daudet	1872	Tartarin of Tarascon
608	2392	Albert Payson Terhune	1922	Further Adventures of Lad
609	2413	Gustave Flaubert	1857	Madame Bovary
610	2415	Jack London	1914	The Mutiny of the Elsinore
611	2425	Henry James	1879	A Bundle of Letters
612	2429	Jack London	1910	Lost Face
613	2431	Mark Twain	1909	Is Shakespeare Dead?
614	2437	Jerome K. Jerome	1909	They and I
615	2445	Voltaire	1734	Letters on the English
616	2447	Lytton Strachey	1918	Eminent Victorians
617	2450	Leo Tolstoy	1854	Boyhood
618	2462	B. Perez Galdos	1876	Doña Perfecta
619	2465	Prosper Merimee	1845	Carmen
620	2466	Ivan S. Turgenev	1877	Virgin Soil
621	2480	Joseph Conrad	1911	Under Western Eyes
622	2484	Plutarch	1883	The Boys' and Girls' Plutarch
623	2500	Herman Hesse	1922	Siddhartha
624	2505	Charlotte M. Yonge	1853	The Heir of Redclyffe
625	2506	William D. Howells	1883	The Sleeping Car
626	2512	Jack London	1911	The Cruise of the Snark
627	2516	Sir Walter Scott	1824	Redgauntlet
628	2530	Alfred Russell Wallace	1869	The Malay Archipelago
629	2539	Alfred Russell Wallace	1869	The Malay Archipelago
630	2540	Edmund Gosse	1907	Father and Son
631	2548	Elizabeth Gaskell	1856	The Poor Clare
632	2554	Fyodor Dostoevsky	1866	Crime and Punishment
633	2565	William Morris	1890	The Story of the Glittering Plain
634	2567	Henry David Thoreau	1859	A Plea for Captain John Brown
635	2568	E.C. (Edmund Clerihew) Bentley	1913	Trent's Last Case
636	2569	Rudyard Kipling	1898	The Day's Work
637	2600	Leo Tolstoy	1869	War and Peace
638	2602	H. Rider Haggard	1910	Queen Sheba's Ring
639	2604	E. M. Forster	1907	The Longest Journey
640	2607	P. G. Wodehouse	1915	Psmith, Journalist
641	2618	John Kendrick Bangs	1895	A House-Boat on the Styx
642	2638	Fyodor Dostoyevsky	1869	The Idiot
643	2641	E. M. Forster	1908	A Room with a View
644	2662	Thomas Hardy	1872	Under the Greenwood Tree
645	2664	Edward Bulwer Lytton	1842	Zanoni
646	2667	Oliver Goldsmith	1766	The Vicar of Wakefield
647	2686	William Makepeace Thackeray	1795	The Book of Los
648	2688	Edgar Wallace	1930	The Clue of the Silver Key
649	2709	Maxim Gorky	1899	Foma Gordeev
650	2713	H. Rider Haggard	1888	Maiwa's Revenge
651	2721	H. Rider Haggard	1890	Eric Brighteyes
652	2726	Louisa M. Alcott	1875	Eight Cousins
653	2731	William Makepeace Thackeray	2002	The Story of Lucy Gault
654	2735	William Kirby	1877	The Golden Dog
655	2754	Alexandre Dumas, Pere	1853	The Countess of Charny
656	2763	H. Rider Haggard and Andrew Lang	1890	The World's Desire
657	2764	H. Rider Haggard	1911	The Mahatma and the Hare
658	2771	John Galsworthy	1904	The Island Pharisees
659	2775	Ford Madox Ford	1915	The Good Soldier
660	2776	O. Henry	1906	The Four Million
661	2777	O. Henry	1904	Cabbages and Kings
662	2787	Louisa May Alcott	1869	An Old-Fashioned Girl
663	2788	Louisa May Alcott	1871	Little Men
664	2795	Alfred Ollivant	1898	Bob, Son of Battle
665	2799	Irving Bacheller	1900	Eben Holden
666	2801	James Harrington	1656	The Commonwealth of Oceana
667	2802	Helen Hunt Jackson	1884	Ramona
668	2804	Louisa May Alcott	1876	Rose in Bloom
669	2811	Pliny	74	Natural History
670	2811	Pliny	2003	Natural History
671	2813	Arnold Bennett	1902	The Grand Babylon Hotel
672	2815	Henry Adams	1880	Democracy: An American Novel
673	2816	Tommaso Campanella	1623	The City of the Sun
674	2817	James Joyce	1907	Chamber Music
675	2825	Friedrich de la Motte Fouque	1811	Undine
676	2828	Rudyard Kipling	1888	Under the Deodars
677	2833	Henry James	1881	The Portrait of a Lady
678	2834	Henry James	1881	The Portrait of a Lady
679	2841	H. Rider Haggard	1916	The Ivory Child
680	2844	William Makepeace Thackeray	2002	The Story of Lucy Gault
681	2845	Arthur Conan Doyle	1906	Sir Nigel
682	2852	A. Conan Doyle	1901	The Hound of the Baskervilles
683	2853	Henryk Sienkiewicz	1896	Quo Vadis
684	2855	H. Rider Haggard	1900	Elissa
685	2856	H. Rider Haggard	1918	Moon of Israel
686	2857	H. Rider Haggard	1908	The Yellow God
687	2860	Anthony Trollope	1861	Framley Parsonage
688	2865	Howard Pyle	1888	Otto of the Silver Hand
689	2870	Henry James	1880	Washington Square
690	2874	Mark Twain	1896	Personal Recollections of Joan of Arc
691	2875	Mark Twain	1896	Personal Recollections of Joan of Arc
692	2876	Rudyard Kipling	1891	The Light That Failed
693	2885	William Morris	1889	The House of the Wolfings
694	2892	James Stephens	1920	Irish Fairy Tales
695	2893	H. Rider Haggard	1896	The Wizard
696	2895	Mark Twain (Samuel Clemens)	1897	Following the Equator
697	2944	Ralph Waldo Emerson	1841	Essays: First Series
698	2946	E. M. Forster	1910	Howards End
699	2948	E. M. Forster	1905	Where Angels Fear to Tread
700	3005	Victor Appleton	1910	Tom Swift and His Airship
701	3006	Rudyard Kipling	1899	Stalky & Co.
702	3007	Willis George Emerson	1908	The Smoky God
703	3011	Sir Walter Scott	1810	The Lady of the Lake
704	3020	William Hazlitt	1821	Table-Talk
705	3021	Robert Frost	1913	A Boy's Will
706	3026	Robert Frost	1914	North of Boston
707	3030	Rafael Sabatini	1904	The Tavern Knight
708	3031	Ernest Thompson Seton	1898	Wild Animals I Have Known
709	3044	Thomas Hardy	1871	Desperate Remedies
710	3045	Anthony Trollope	1866	The Last Chronicle of Barset
711	3055	William Morris	1894	The Wood Beyond the World
712	3067	Charles Reade	1863	Hard Cash
713	3069	Arthur Conan Doyle	1900	The Great Boer War
714	3070	Arthur Conan Doyle	1901	The Hound of the Baskervilles
715	3076	John Reed	1919	Ten Days that Shook the World
716	3091	Jules Verne	1881	Eight Hundred Leagues on the Amazon
717	3092	George M. Wrong	1968	The Concerns of a Citizen
718	3094	H. Rider Haggard	1911	Red Eve
719	3095	Bram Stoker	1909	The Lady of the Shroud
720	3096	H. Rider Haggard	1890	Beatrice
721	3097	H. Rider Haggard	1914	The Wanderer's Necklace
722	3110	Charles Dudley Warner	1842	American Notes
723	3118	Charles Dudley Warner	1897	Equality
724	3127	Charles Dudley Warner	1877	Being a Boy
725	3132	Charles Dudley Warner	1859	On the Origin of Species
726	3133	Charles Dudley Warner	1874	Baddeck, And That Sort of Thing
727	3145	Henry James	1884	The Author of Beltraffio
728	3146	Thomas Hardy	1882	Two on a Tower
729	3153	H. R. Haggard	1922	The Virgin of the Sun
730	3162	John Kendrick Bangs	1899	The Enchanted Type-Writer
731	3166	Anthony Trollope	1858	Doctor Thorne
732	3176	Mark Twain (Samuel Clemens)	1869	The Innocents Abroad
733	3177	Mark Twain (Samuel Clemens)	1872	Roughing It
734	3179	Mark Twain (Samuel Clemens)	1892	The American Claimant
735	3180	Mark Twain	1902	A Double Barrelled Detective Story
736	3186	Mark Twain	1916	The Mysterious Stranger
737	3207	Thomas Hobbes	2015	Leviathan
738	3207	Thomas Hobbes	1668	Leviathan
739	3207	Thomas Hobbes	2009	Leviathan
